"protocol","scheme","location","raw_key","aliases","canonical_semantic","value_type","allowed_values","default","repeated","decode_rule","source_class","mihomo_mapping","xray_mapping","sing_box_mapping","other_mapping","current_behavior","status","test_ids","evidence","notes"
"SOCKS5","socks","scheme","socks","","parser_dispatch","literal_scheme","socks://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: socks5","SOCKS5 outbound","SOCKS 4/4a/5 outbound","unknown","dispatches to SOCKS5 parser","complete","none","local:PARSERS;workstream:parser-inventory","secondary spelling"
"SOCKS5","socks5","scheme","socks5","","parser_dispatch","literal_scheme","socks5://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: socks5","SOCKS5 outbound","SOCKS 4/4a/5 outbound","unknown","dispatches to SOCKS5 parser","complete","proxyUri.test.ts:parses-socks5","local:PARSERS;workstream:parser-inventory",""
"HTTP","http","scheme","http","","parser_dispatch","literal_scheme","http://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: http","HTTP outbound plus stream TLS","HTTP outbound plus TLS object","unknown","dispatches to HTTP parser","complete","proxyUri.test.ts:parses-http","local:PARSERS;workstream:parser-inventory",""
"HTTP","https","scheme","https","","parser_dispatch","literal_scheme","https://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: http","HTTP outbound plus stream TLS","HTTP outbound plus TLS object","unknown","dispatches to HTTP parser","complete","none","local:PARSERS;workstream:parser-inventory","secondary spelling; emits tls: true"
"Shadowsocks","ss","structure.format","uri-form","","share_format","enum","SIP002 userinfo|plain userinfo|legacy whole-body base64","SIP002","n/a","manual query percent-decode once; literal plus preserved; duplicate keys reject","structural_carrier","parser-only","unknown","unknown","Sub-Store@0882a522 differential only","all three forms accepted; AEAD-2022 no-base64 rule is not separately enforced","partial","proxyUri.test.ts:parses-ss-SIP002","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","structure.userinfo","cipher","","cipher","string","fixed Mihomo v1.19.28 Shadowsocks method set","none","n/a","manual query percent-decode once; literal plus preserved","structural_carrier","cipher","unknown","unknown","Sub-Store@0882a522 differential only","mapped then checked against the fixed local Mihomo method set before delivery","complete","proxyUri.test.ts:parses-ss-SIP002|mihomoProxyValidator.test.ts:fixed-ciphers","local:parseSS;local:validateMihomoProxyList;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","structure.userinfo","password","","password","string","UTF-8 string for non-2022 methods; conditional PSK chain below for 2022 methods","none","n/a","manual query percent-decode once; literal plus preserved; duplicate keys reject","structural_carrier","password","unknown","unknown","Sub-Store@0882a522 differential only","preserved after one userinfo decoding path then validated against the selected cipher before delivery","complete","proxyUri.test.ts:parses-ss-SIP002|mihomoProxyValidator.test.ts:Shadowsocks-2022-PSK","local:parseSS;local:validateMihomoProxyList;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","structure.credential","password[2022]","","shadowsocks_2022_psk_chain","canonical standard Base64 key or colon-separated key chain","16 decoded bytes for 2022-blake3-aes-128 methods; 32 for AES-256 and ChaCha methods; multiple keys allowed only for AES EIH","none","colon-separated EIH components are ordered credentials rather than duplicate URI parameters","userinfo is decoded once; every PSK component is then canonical-Base64 decoded exactly once for length validation","fixed_target_native_credential_grammar","password","unknown","unknown","Sub-Store@0882a522 differential only","every PSK has the cipher-specific decoded length; empty/noncanonical/wrong-length components and multi-key ChaCha reject","complete","mihomoProxyValidator.test.ts:Shadowsocks-2022-PSK","local:validateShadowsocks;E3:Mihomo@cbd11db","URI-form discrimination remains a separate bounded partial"
"Shadowsocks","ss","structure.authority","host","","server_host","host","domain|IPv4|bracketed IPv6","none","n/a","manual query percent-decode once; literal plus preserved; duplicate keys reject","structural_carrier","server","unknown","unknown","Sub-Store@0882a522 differential only","brackets removed","complete","proxyUri.test.ts:parses-ss-SIP002","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","structure.authority","port","","server_port","integer","1..65535","none","n/a","manual query percent-decode once; literal plus preserved; duplicate keys reject","structural_carrier","port","unknown","unknown","Sub-Store@0882a522 differential only","strict decimal range","complete","proxyUri.test.ts:port-boundaries","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","structure.path","trailing-slash","","SIP002_plugin_delimiter","literal","/","conditional","n/a","manual query percent-decode once; literal plus preserved; duplicate keys reject","structural_carrier","none","unknown","unknown","Sub-Store@0882a522 differential only","one trailing slash removed before authority parse","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","manual query percent-decode once; literal plus preserved; duplicate keys reject","structural_carrier","name","unknown","unknown","Sub-Store@0882a522 differential only","decoded once","complete","proxyUri.test.ts:parses-ss-SIP002","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","structure.body","outer-base64","","share_container","base64url UTF-8","canonical standard or URL-safe base64; optional correct padding","none","n/a","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","structural_carrier","parser-only","unsupported","unsupported","Sub-Store@0882a522 differential only","strict canonical decode","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","structure.payload","host","","server_host","string","non-empty; colon-rich host accepted","none","n/a","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","structural_carrier","server","unsupported","unsupported","Sub-Store@0882a522 differential only","right-split preserves IPv6","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","structure.payload","port","","server_port","integer","1..65535","none","n/a","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","structural_carrier","port","unsupported","unsupported","Sub-Store@0882a522 differential only","strict decimal range","complete","proxyUri.test.ts:port-boundaries","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","structure.payload","protocol","","ssr_protocol","string","fixed Mihomo v1.19.28 SSR protocol set","none","n/a","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","structural_carrier","protocol","unsupported","unsupported","Sub-Store@0882a522 differential only","mapped then checked against the fixed local Mihomo protocol set before delivery","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding|mihomoProxyValidator.test.ts:fixed-SSR-enums","local:parseSSR;local:validateMihomoProxyList;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","structure.payload","method","","cipher","string","fixed Mihomo v1.19.28 SSR stream cipher set","none","n/a","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","structural_carrier","cipher","unsupported","unsupported","Sub-Store@0882a522 differential only","mapped then checked against the fixed local Mihomo SSR cipher set before delivery","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding|mihomoProxyValidator.test.ts:fixed-SSR-enums","local:parseSSR;local:validateMihomoProxyList;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","structure.payload","obfs","","ssr_obfuscation","string","fixed Mihomo v1.19.28 SSR obfs set","none","n/a","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","structural_carrier","obfs","unsupported","unsupported","Sub-Store@0882a522 differential only","mapped then checked against the fixed local Mihomo SSR obfs set before delivery","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding|mihomoProxyValidator.test.ts:fixed-SSR-enums","local:parseSSR;local:validateMihomoProxyList;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","structure.payload","base64pass","","password","base64url UTF-8","valid canonical base64","none","n/a","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","structural_carrier","password","unsupported","unsupported","Sub-Store@0882a522 differential only","present-invalid rejects","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","structure.delimiter","/?","","optional_query_suffix","literal","/?","absent","n/a","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","structural_carrier","parser-only","unsupported","unsupported","Sub-Store@0882a522 differential only","core-only URI without suffix accepted","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"VMess","vmess","structure.body","outer-base64","","legacy_share_container","base64 UTF-8 JSON","canonical base64 JSON object","none","n/a","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","structural_carrier","parser-only","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","non-object and invalid JSON reject","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","structure.format","authority-form","","modern_AEAD_URL_format","URI authority","uuid@host:port?query","unsupported","n/a","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","official_share_proposal","none","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","parser attempts base64 and explicitly rejects","explicit_reject","none","E2:Xray#716 retrieved 2026-07-15;local:parseVMess",""
"VMess","vmess","structure.fragment","outer-fragment","","display_name_override","percent-encoded string","any","internal ps","n/a","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","ecosystem_extension","none","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","outer fragment is included in base64 body and rejected","explicit_reject","none","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VLESS","vless","structure.userinfo","uuid","","user_identity","canonical UUID or bounded custom user ID","canonical 8-4-4-4-12 UUID in either hex case; or 1..30 UTF-8 bytes without control characters","none","n/a","userinfo and fragment percent-decode once with literal plus preserved; query uses WHATWG form decoding so plus becomes space; names and constants case-sensitive","official_field_plus_fixed_target_custom_id_extension","uuid","VLESS UUID/custom UUID mapping","VLESS UUID","VLESS UUID","canonical UUIDs normalize lowercase; the dashless hashlike spelling canonicalises to the same identity (gofrs/uuid FromString, fixed Mihomo's user-ID parser, accepts it directly); bounded custom IDs deterministically map through UUIDv5 with the nil namespace","complete","proxyUri.test.ts:vless-custom-user-ID|mihomoProxyValidator.test.ts:bounded-custom-user-IDs|uuid-hashlike-accepted","local:parseVLESS;local:normalizeMihomoUserId;local:validateMihomoProxyList;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db","31-byte and control-bearing custom IDs reject; decision extended 2026-07-18: hashlike accepted (providers emit it; 32 bytes would wrongly fail the 30-byte custom bound)"
"VLESS","vless","structure.authority","host","","server_host","host","domain|IPv4|bracketed IPv6","none","n/a","userinfo and fragment percent-decode once with literal plus preserved; query uses WHATWG form decoding so plus becomes space; names and constants case-sensitive","structural_carrier","server","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","brackets removed","complete","proxyUri.test.ts:vless-core-security-and-port-boundaries","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","structure.authority","port","","server_port","integer","1..65535","none","n/a","userinfo and fragment percent-decode once with literal plus preserved; query uses WHATWG form decoding so plus becomes space; names and constants case-sensitive","structural_carrier","port","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","strict decimal range","complete","proxyUri.test.ts:port-boundaries","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","userinfo and fragment percent-decode once with literal plus preserved; query uses WHATWG form decoding so plus becomes space; names and constants case-sensitive","structural_carrier","name","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","decoded once","complete","proxyUri.test.ts:vless-core-security-and-port-boundaries","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","structure.query-integrity","query-name","","case_and_duplicate_policy","query metadata","canonical casing; no exact duplicate","none","n/a","userinfo and fragment percent-decode once with literal plus preserved; query uses WHATWG form decoding so plus becomes space; names and constants case-sensitive","structural_carrier","parser-only","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","known wrong-case keys and exact duplicates reject","complete","proxyUri.test.ts:vless-query-integrity","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"Trojan","trojan","structure.userinfo","password","","password","string","non-empty","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","password","unknown","unknown","Sub-Store@0882a522 differential only","required","complete","proxyUri.test.ts:parses-trojan-with-ws","local:parseTrojan;E3:Mihomo@cbd11db;official URI source unknown",""
"Trojan","trojan","structure.authority","host","","server_host","host","domain|IPv4|bracketed IPv6","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","server","unknown","unknown","Sub-Store@0882a522 differential only","brackets removed","complete","proxyUri.test.ts:parses-trojan-with-ws","local:parseTrojan;E3:Mihomo@cbd11db;official URI source unknown",""
"Trojan","trojan","structure.authority","port","","server_port","integer","1..65535","443","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","port","unknown","unknown","Sub-Store@0882a522 differential only","strict explicit value or default 443","complete","proxyUri.test.ts:port-boundaries","local:parseTrojan;E3:Mihomo@cbd11db;official URI source unknown",""
"Trojan","trojan","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","name","unknown","unknown","Sub-Store@0882a522 differential only","decoded once","complete","proxyUri.test.ts:parses-trojan-with-ws","local:parseTrojan;E3:Mihomo@cbd11db;official URI source unknown",""
"Hysteria 1","hysteria","structure.authority","host","","server_host","host","domain|IPv4|bracketed IPv6","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","server","unsupported in stable Xray","Hysteria 1 outbound; exact field name varies","Sub-Store@0882a522 differential only","required","complete","none","local:parseHysteria;E1:Hysteria1-URI retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"Hysteria 1","hysteria","structure.authority","port","","server_port","integer","1..65535","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","port","unsupported in stable Xray","Hysteria 1 outbound; exact field name varies","Sub-Store@0882a522 differential only","strict decimal range","complete","proxyUri.test.ts:port-boundaries","local:parseHysteria;E1:Hysteria1-URI retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"Hysteria 1","hysteria","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","name","unsupported in stable Xray","Hysteria 1 outbound; exact field name varies","Sub-Store@0882a522 differential only","decoded once","complete","none","local:parseHysteria;E1:Hysteria1-URI retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"Hysteria 1","hysteria","structure.required-combination","upmbps+downmbps","","required_bandwidth_pair","pair","both nonzero target-parseable speed strings","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","up + down","unsupported in stable Xray","Hysteria 1 outbound; exact field name varies","Sub-Store@0882a522 differential only","both directions are required and validated before output","complete","proxyUri.test.ts:QUIC-URI-hardening-Hysteria-1-and-Hysteria-2","local:parseHysteria;E1:Hysteria1-URI retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"Hysteria 2","hysteria2|hy2","structure.userinfo","auth","","hysteria_auth","opaque percent-encoded string","any including username:password as one value","empty","n/a","hand parser; userinfo and fragment percent-decode once with literal plus preserved; query uses form decoding so plus becomes space","structural_carrier","password","Hysteria v2 model; exact share mapping unknown","Hysteria 2 outbound; salamander only at v1.13.14","Sub-Store@0882a522 differential only","optional and decoded once","complete","proxyUri.test.ts:hysteria2-matrix","local:parseHysteria2;E1:Hysteria2-URI retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"Hysteria 2","hysteria2|hy2","structure.authority","host","","server_host","host","domain|IPv4|bracketed IPv6","none","n/a","hand parser; userinfo and fragment percent-decode once with literal plus preserved; query uses form decoding so plus becomes space","structural_carrier","server","Hysteria v2 model; exact share mapping unknown","Hysteria 2 outbound; salamander only at v1.13.14","Sub-Store@0882a522 differential only","required","complete","proxyUri.test.ts:hysteria2-matrix","local:parseHysteria2;E1:Hysteria2-URI retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"Hysteria 2","hysteria2|hy2","structure.authority","port-set","","server_ports","port or ranges","at most 28 comma-separated ascending port/range segments in 1..65535","443","n/a","hand parser; userinfo and fragment percent-decode once with literal plus preserved; query uses form decoding so plus becomes space","structural_carrier","port + ports","Hysteria v2 model","Hysteria 2 outbound","Sub-Store@0882a522 differential only","validates every port/range and rejects semicolon, empty, descending, overflow, or more than 28 segments","complete","proxyUri.test.ts:hysteria2-matrix|closed-URI-grammars|mihomoProxyValidator.test.ts:Hysteria-port-budget","local:parseHysteria2;local:validateMihomoProxyList;E1:Hysteria2-URI retrieved 2026-07-15;E3:Mihomo@cbd11db","structured H1/H2 ports-only nodes are accepted; every final list has a shared 65536 expanded-port candidate budget"
"Hysteria 2","hysteria2|hy2","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","hand parser; userinfo and fragment percent-decode once with literal plus preserved; query uses form decoding so plus becomes space","structural_carrier","name","Hysteria v2 model; exact share mapping unknown","Hysteria 2 outbound; salamander only at v1.13.14","Sub-Store@0882a522 differential only","decoded once","complete","proxyUri.test.ts:hysteria2-matrix","local:parseHysteria2;E1:Hysteria2-URI retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"TUIC","tuic","structure.userinfo","uuid","","tuic_v5_uuid","string","canonical lowercase UUID","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","uuid","unsupported","TUIC v5 only","Sub-Store@0882a522 differential only","accepts the supported v5 dialect; token-only v4 and non-canonical UUIDs explicitly reject","complete","proxyUri.test.ts:parses-tuic|QUIC-URI-hardening-TUIC-v5-and-WireGuard-flat-dialect","local:parseTUIC;E1:TUIC-protocol@8e118f24;E3:Mihomo@cbd11db;official URI source unknown","v4 share dialect is an explicit unsupported boundary"
"TUIC","tuic","structure.userinfo","password","","tuic_v5_password","string","non-empty","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","password","unsupported","TUIC v5 only","Sub-Store@0882a522 differential only","required for the supported v5 dialect; empty explicitly rejects","complete","proxyUri.test.ts:parses-tuic|QUIC-URI-hardening-TUIC-v5-and-WireGuard-flat-dialect","local:parseTUIC;E1:TUIC-protocol@8e118f24;E3:Mihomo@cbd11db;official URI source unknown",""
"TUIC","tuic","structure.authority","host","","server_host","host","domain|IPv4|bracketed IPv6","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","server","unsupported","TUIC v5 only","Sub-Store@0882a522 differential only","required","complete","proxyUri.test.ts:parses-tuic","local:parseTUIC;E1:TUIC-protocol@8e118f24;E3:Mihomo@cbd11db;official URI source unknown",""
"TUIC","tuic","structure.authority","port","","server_port","integer","1..65535","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","port","unsupported","TUIC v5 only","Sub-Store@0882a522 differential only","strict decimal range","complete","proxyUri.test.ts:port-boundaries","local:parseTUIC;E1:TUIC-protocol@8e118f24;E3:Mihomo@cbd11db;official URI source unknown",""
"TUIC","tuic","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","name","unsupported","TUIC v5 only","Sub-Store@0882a522 differential only","decoded once","complete","proxyUri.test.ts:parses-tuic","local:parseTUIC;E1:TUIC-protocol@8e118f24;E3:Mihomo@cbd11db;official URI source unknown",""
"Snell","snell","structure.userinfo","psk","","pre_shared_key","string","non-empty","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","psk","unsupported","unsupported","Sub-Store@0882a522 differential only","required","complete","proxyUri.test.ts:parses-snell","local:parseSnell;E2:Surge-Snell retrieved 2026-07-15;E3:Mihomo@cbd11db;official URI source unknown",""
"Snell","snell","structure.authority","host","","server_host","host","domain|IPv4|bracketed IPv6","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","server","unsupported","unsupported","Sub-Store@0882a522 differential only","required","complete","proxyUri.test.ts:parses-snell","local:parseSnell;E2:Surge-Snell retrieved 2026-07-15;E3:Mihomo@cbd11db;official URI source unknown",""
"Snell","snell","structure.authority","port","","server_port","integer","1..65535","none","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","port","unsupported","unsupported","Sub-Store@0882a522 differential only","strict decimal range","complete","proxyUri.test.ts:port-boundaries","local:parseSnell;E2:Surge-Snell retrieved 2026-07-15;E3:Mihomo@cbd11db;official URI source unknown",""
"Snell","snell","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","WHATWG URL percent-decode once; duplicate keys reject","structural_carrier","name","unsupported","unsupported","Sub-Store@0882a522 differential only","decoded once","complete","proxyUri.test.ts:parses-snell","local:parseSnell;E2:Surge-Snell retrieved 2026-07-15;E3:Mihomo@cbd11db;official URI source unknown",""
"AnyTLS","anytls","structure.userinfo","password","","password","string","non-empty","none","n/a","WHATWG URL percent-decode once; duplicate keys reject; addon underscores normalize to hyphens","structural_carrier","password","unsupported","AnyTLS outbound; duration semantics differ","Sub-Store@0882a522 differential only","required","complete","proxyUri.test.ts:anytls-matrix","local:parseAnyTLS;E1:AnyTLS-URI@96668729;E3:Mihomo@cbd11db",""
"AnyTLS","anytls","structure.authority","host","","server_host","host","domain|IPv4|bracketed IPv6","none","n/a","WHATWG URL percent-decode once; duplicate keys reject; addon underscores normalize to hyphens","structural_carrier","server","unsupported","AnyTLS outbound; duration semantics differ","Sub-Store@0882a522 differential only","required","complete","proxyUri.test.ts:anytls-matrix","local:parseAnyTLS;E1:AnyTLS-URI@96668729;E3:Mihomo@cbd11db",""
"AnyTLS","anytls","structure.authority","port","","server_port","integer","1..65535","443","n/a","WHATWG URL percent-decode once; duplicate keys reject; addon underscores normalize to hyphens","structural_carrier","port","unsupported","AnyTLS outbound; duration semantics differ","Sub-Store@0882a522 differential only","strict explicit value or default 443","complete","proxyUri.test.ts:port-boundaries","local:parseAnyTLS;E1:AnyTLS-URI@96668729;E3:Mihomo@cbd11db",""
